Camp,Agent,Date,Incoming Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level
Campaign A,Jocelyne,12/10/2021,217,204,94.01%,13,0:00:17,0:02:14,0:02:45,76.28%
Campaign A,Darlleen,2/14/2023,200,182,91.00%,18,0:00:20,0:02:22,0:06:55,72.73%
Campaign A,Kort,8/19/2021,216,198,91.67%,18,0:00:18,0:02:38,0:03:50,74.30%
Campaign A,Lou,8/26/2021,155,145,93.55%,10,0:00:15,0:02:29,0:03:12,79.61%
Campaign A,Charlean,3/6/2021,37,37,100.00%,0,0:00:03,0:02:06,0:00:35,97.30%
Campaign A,Avril,2/6/2023,315,304,96.51%,11,0:00:18,0:01:35,0:02:37,77.17%
Campaign A,Fleming,9/25/2021,252,244,96.83%,8,0:00:13,0:01:50,0:02:02,82.00%
Campaign A,Paten,2/12/2022,213,205,96.24%,8,0:00:10,0:02:10,0:03:22,88.10%
Campaign A,Granthem,3/11/2023,219,200,91.32%,19,0:00:15,0:02:18,0:06:12,79.45%
Campaign A,Maddie,3/14/2022,371,348,93.80%,23,0:00:19,0:01:40,0:03:29,73.63%
Campaign A,Gerick,8/31/2021,166,164,98.80%,2,0:00:12,0:02:10,0:02:46,81.33%
Campaign A,Constantine,8/6/2021,32,32,100.00%,0,0:00:02,0:02:03,0:00:03,100.00%
Campaign A,Kaitlyn,6/30/2021,231,222,96.10%,9,0:00:08,0:01:49,0:02:18,86.46%
Campaign A,Freddi,10/1/2023,205,197,96.10%,8,0:00:07,0:01:52,0:02:48,92.61%
Campaign A,Audre,5/9/2021,338,313,92.60%,25,0:00:13,0:01:51,0:03:40,80.06%
Campaign A,Risa,5/23/2021,180,174,96.67%,6,0:00:13,0:02:18,0:03:26,83.80%
Campaign A,Dana,3/26/2021,226,211,93.36%,15,0:00:20,0:02:04,0:04:53,76.23%
Campaign A,Garrett,10/11/2023,226,212,93.81%,14,0:00:10,0:02:03,0:02:45,84.44%
Campaign A,Annabela,9/30/2021,45,44,97.78%,1,0:00:02,0:02:04,0:00:55,97.78%
Campaign A,Paulie,8/12/2022,218,194,88.99%,24,0:00:26,0:02:43,0:06:28,68.98%
Campaign A,Dorree,11/29/2021,187,174,93.05%,13,0:00:15,0:02:16,0:04:39,81.52%
Campaign A,Moina,10/24/2021,191,184,96.34%,7,0:00:10,0:02:09,0:03:40,85.64%
Campaign A,Corly,1/14/2023,188,174,92.55%,14,0:00:15,0:02:25,0:03:09,76.88%
Campaign A,Kamila,6/14/2022,154,148,96.10%,6,0:00:10,0:02:27,0:03:36,85.06%
Campaign A,Sharleen,5/15/2022,166,150,90.36%,16,0:00:18,0:02:26,0:04:38,76.83%
Campaign A,Koo,7/31/2021,58,57,98.28%,1,0:00:04,0:02:26,0:00:58,94.83%
Campaign A,Sabrina,1/1/2021,160,153,95.63%,7,0:00:10,0:02:23,0:02:45,84.91%
Campaign A,Griffy,9/27/2023,86,79,91.86%,7,0:00:32,0:02:43,0:04:40,61.63%
Campaign A,Jewel,12/2/2023,180,170,94.44%,10,0:00:23,0:02:31,0:05:45,77.53%
Campaign A,Cass,7/21/2022,210,192,91.43%,18,0:00:26,0:02:16,0:05:35,67.46%
